Teff,logg,FeH,Mbol,BC_U,BC_B,BC_V,BC_R,BC_I,BC_J,BC_H,BC_Ks,BC_u,BC_g,BC_r,BC_i,BC_z,BC_G,BC_BP,BC_RP
4905.26, 2.00,-4.0, 5.450,-1.31800,-1.11680,-0.32140, 0.17000, 0.65720, 1.33590, 1.77420, 1.89900,-2.20890,-0.71960,-0.06810, 0.20270, 0.34730,-0.06690,-0.53770, 0.58210
5015.94, 2.50, 0.0, 5.353,-1.62160,-1.12750,-0.26400, 0.24070, 0.67640, 1.33360, 1.75120, 1.87470,-2.48800,-0.68310, 0.01380, 0.23750, 0.34640,-0.02060,-0.48580, 0.61100
4950.97, 2.50,-0.5, 5.410,-1.46410,-1.12260,-0.28930, 0.20120, 0.65640, 1.33150, 1.77560, 1.89620,-2.32290,-0.69250,-0.02930, 0.21170, 0.33560,-0.04630,-0.50820, 0.58770
4965.89, 2.50,-1.0, 5.397,-1.30120,-1.07870,-0.29020, 0.18260, 0.63700, 1.31510, 1.77130, 1.88540,-2.15760,-0.66800,-0.04680, 0.19220, 0.31700,-0.05470,-0.50120, 0.56810
4939.03, 2.50,-2.0, 5.421,-1.22650,-1.08470,-0.30980, 0.16770, 0.63670, 1.31660, 1.76870, 1.88800,-2.09240,-0.68770,-0.06530, 0.18740, 0.32160,-0.06650,-0.51850, 0.56490
4948.74, 2.50,-3.0, 5.412,-1.18400,-1.07210,-0.31190, 0.16680, 0.64250, 1.31290, 1.74910, 1.87140,-2.05810,-0.68720,-0.06770, 0.19100, 0.32840,-0.06530,-0.51850, 0.56890
4953.38, 2.50,-4.0, 5.408,-1.15390,-1.06350,-0.31300, 0.16320, 0.64060, 1.30950, 1.74280, 1.86550,-2.03030,-0.68490,-0.07170, 0.18830, 0.32720,-0.06690,-0.51840, 0.56660
5010.39, 3.00, 0.0, 5.358,-1.60350,-1.12280,-0.26930, 0.23460, 0.67050, 1.33290, 1.75990, 1.88080,-2.46850,-0.68320, 0.00800, 0.23110, 0.34180,-0.02510,-0.48820, 0.60510
4963.15, 3.00, 0.5, 5.399,-2.01830,-1.22030,-0.28690, 0.25740, 0.69550, 1.37290, 1.78610, 1.92160,-2.90900,-0.74410, 0.02810, 0.25630, 0.36760,-0.02140,-0.51540, 0.63150
4912.91, 3.00,-0.5, 5.444,-1.48350,-1.14370,-0.31040, 0.18750, 0.64870, 1.34060, 1.80810, 1.92460,-2.33910,-0.71470,-0.04420, 0.20190, 0.33170,-0.06000,-0.52690, 0.57930
4990.00, 3.00,-1.0, 5.376,-1.23520,-1.05870,-0.28900, 0.18010, 0.63000, 1.30440, 1.76130, 1.87240,-2.08530,-0.65640,-0.04790, 0.18620, 0.30840,-0.05510,-0.49430, 0.56170
4991.62, 3.00,-2.0, 5.375,-1.10840,-1.04440,-0.29980, 0.16590, 0.62510, 1.29330, 1.73740, 1.85460,-1.96400,-0.65950,-0.06400, 0.17830, 0.30590,-0.06390,-0.50080, 0.55440
4970.32, 3.00,-3.0, 5.393,-1.08960,-1.05480,-0.31250, 0.16100, 0.63320, 1.29860, 1.72860, 1.85230,-1.95230,-0.67740,-0.07250, 0.18260, 0.31770,-0.06820,-0.51360, 0.56000
5005.01, 3.00,-4.0, 5.363,-1.02090,-1.02550,-0.30670, 0.15890, 0.62840, 1.28370, 1.70360, 1.82670,-1.88520,-0.66040,-0.07370, 0.17810, 0.31130,-0.06660,-0.50360, 0.55520
5011.53, 3.50, 0.0, 5.357,-1.60830,-1.11830,-0.27140, 0.23210, 0.66630, 1.33220, 1.76670, 1.88440,-2.47170,-0.68150, 0.00630, 0.22730, 0.33790,-0.02680,-0.48760, 0.60130
4988.91, 3.50, 0.5, 5.377,-1.94540,-1.19200,-0.28030, 0.25750, 0.69200, 1.36290, 1.77640, 1.90760,-2.83360,-0.72660, 0.02990, 0.25360, 0.36300,-0.01820,-0.50420, 0.62830
4917.82, 3.50,-0.5, 5.439,-1.47540,-1.13940,-0.31360, 0.18630, 0.64600, 1.33880, 1.81020, 1.92450,-2.32810,-0.71460,-0.04500, 0.19960, 0.32890,-0.06120,-0.52660, 0.57690
4975.93, 3.50,-1.0, 5.388,-1.23620,-1.06800,-0.29970, 0.17470, 0.62560, 1.30730, 1.77390, 1.88400,-2.08140,-0.66750,-0.05340, 0.18150, 0.30520,-0.06130,-0.50220, 0.55730
5036.62, 3.50,-2.0, 5.336,-1.03470,-1.01790,-0.29250, 0.16610, 0.61710, 1.27520, 1.71280, 1.82790,-1.88270,-0.64050,-0.06150, 0.17250, 0.29440,-0.06140,-0.48780, 0.54740
5047.83, 3.50,-3.0, 5.326,-0.96660,-1.00740,-0.29740, 0.16210, 0.62210, 1.26750, 1.68170, 1.80270,-1.82030,-0.64280,-0.06790, 0.17490, 0.30090,-0.06260,-0.49050, 0.55030
5047.65, 3.50,-4.0, 5.326,-0.92830,-1.00340,-0.30440, 0.15450, 0.61880, 1.26280, 1.67270, 1.79580,-1.78380,-0.64680,-0.07650, 0.17000, 0.29900,-0.06810,-0.49560, 0.54600
4992.30, 4.00, 0.0, 5.374,-1.65750,-1.13970,-0.28430, 0.22940, 0.66690, 1.33920, 1.78180, 1.89940,-2.51940,-0.70140, 0.00290, 0.22730, 0.34010,-0.03200,-0.49910, 0.60170
5083.68, 4.00, 0.5, 5.295,-1.81620,-1.12350,-0.24970, 0.27320, 0.69200, 1.33530, 1.73100, 1.85530,-2.69810,-0.67430, 0.05010, 0.25840, 0.35530, 0.00120,-0.46590, 0.63020
4910.47, 4.00,-0.5, 5.446,-1.50710,-1.15360,-0.32320, 0.18670, 0.64700, 1.34290, 1.81920, 1.93320,-2.35760,-0.72940,-0.04480, 0.20080, 0.33020,-0.06370,-0.53380, 0.57810
4956.78, 4.00,-1.0, 5.405,-1.26990,-1.08980,-0.31280, 0.17380, 0.62680, 1.31480, 1.78840, 1.89940,-2.11150,-0.68840,-0.05490, 0.18240, 0.30750,-0.06600,-0.51360, 0.55850
5059.64, 4.00,-2.0, 5.316,-1.00690,-1.01250,-0.28900, 0.16920, 0.61650, 1.26760, 1.69860, 1.81470,-1.84930,-0.63570,-0.05750, 0.17320, 0.29180,-0.05880,-0.48260, 0.54730
5049.09, 4.00,-3.0, 5.325,-0.95400,-1.01840,-0.29950, 0.16420, 0.62660, 1.26650, 1.66930, 1.79600,-1.80280,-0.65070,-0.06660, 0.17910, 0.30530,-0.06210,-0.49370, 0.55430
5072.94, 4.00,-4.0, 5.304,-0.88740,-0.99970,-0.30200, 0.15690, 0.61980, 1.25250, 1.64710, 1.77460,-1.73790,-0.64440,-0.07400, 0.17170, 0.29840,-0.06600,-0.49210, 0.54710
4982.27, 4.50, 0.0, 5.383,-1.72500,-1.16460,-0.29680, 0.23170, 0.67060, 1.34610, 1.79300, 1.91140,-2.58520,-0.72470, 0.00480, 0.23130, 0.34400,-0.03450,-0.50950, 0.60550
5056.36, 4.50, 0.5, 5.319,-1.88710,-1.15520,-0.26760, 0.26980, 0.69220, 1.34570, 1.75190, 1.87680,-2.76700,-0.70440, 0.04610, 0.25810, 0.35810,-0.00620,-0.48200, 0.63050
4953.63, 4.50,-1.0, 5.408,-1.30860,-1.10260,-0.31920, 0.17860, 0.63060, 1.31920, 1.79400, 1.90580,-2.14780,-0.70140,-0.05010, 0.18690, 0.31060,-0.06550,-0.51780, 0.56260
4976.19, 4.50,-2.0, 5.388,-1.12990,-1.07590,-0.31240, 0.17020, 0.63070, 1.29880, 1.73600, 1.86150,-1.97110,-0.68450,-0.06050, 0.18430, 0.31130,-0.06570,-0.51170, 0.56000
5079.81, 4.50,-3.0, 5.299,-0.93440,-1.00930,-0.28990, 0.17290, 0.63270, 1.25750, 1.63920, 1.77090,-1.78110,-0.64150,-0.05750, 0.18640, 0.30880,-0.05410,-0.48420, 0.56050
4969.79, 4.50,-4.0, 5.394,-0.99560,-1.06860,-0.32560, 0.15760, 0.64080, 1.28800, 1.67600, 1.81900,-1.84780,-0.69690,-0.07950, 0.18760, 0.32670,-0.07210,-0.52490, 0.56540
4976.20, 5.00, 0.0, 5.388,-1.80450,-1.18960,-0.30900, 0.23590, 0.67520, 1.35290, 1.80360, 1.92170,-2.66340,-0.74840, 0.00890, 0.23660, 0.34830,-0.03580,-0.51910, 0.61050
4953.82, 5.00, 0.5, 5.408,-2.06940,-1.26350,-0.32520, 0.25260, 0.69740, 1.38040, 1.81150, 1.94240,-2.94810,-0.80270, 0.02370, 0.25750, 0.37140,-0.03290,-0.54080, 0.63250
4860.02, 5.00,-0.5, 5.491,-1.69170,-1.22730,-0.35980, 0.18960, 0.65750, 1.36700, 1.85490, 1.97290,-2.54240,-0.79760,-0.04420, 0.21030, 0.34330,-0.07360,-0.56810, 0.58820
4971.82, 5.00,-1.0, 5.392,-1.34160,-1.10480,-0.31670, 0.18980, 0.63850, 1.31870, 1.78420, 1.89690,-2.17970,-0.70420,-0.03820, 0.19630, 0.31600,-0.05840,-0.51340, 0.57090
4980.19, 5.00,-2.0, 5.385,-1.16660,-1.08500,-0.30950, 0.18140, 0.64380, 1.30190, 1.72070, 1.85140,-2.00770,-0.69000,-0.05020, 0.19760, 0.32340,-0.05790,-0.51010, 0.57260
5043.95, 5.00,-3.0, 5.329,-0.98540,-1.03600,-0.29540, 0.17780, 0.64540, 1.27090, 1.64160, 1.78140,-1.83240,-0.66010,-0.05510, 0.19740, 0.32370,-0.05260,-0.49410, 0.57210
4950.01, 5.00,-4.0, 5.411,-1.02750,-1.08610,-0.32710, 0.16400, 0.65270, 1.29530, 1.66540, 1.81680,-1.88020,-0.70860,-0.07490, 0.19850, 0.33960,-0.06840,-0.52960, 0.57640
5390.37, 2.50,-2.0, 5.041,-0.82020,-0.79850,-0.19050, 0.20750, 0.60490, 1.16860, 1.52300, 1.62440,-1.69170,-0.46740,-0.00540, 0.17540, 0.25740,-0.00210,-0.36480, 0.54180
5436.69, 2.50,-3.0, 5.004,-0.74360,-0.76850,-0.19050, 0.19770, 0.59290, 1.14600, 1.49030, 1.59150,-1.61830,-0.45280,-0.01400, 0.16340, 0.24430,-0.00580,-0.35830, 0.52960
5459.13, 3.00, 0.0, 4.986,-1.08180,-0.83640,-0.13880, 0.27850, 0.65050, 1.18980, 1.51360, 1.61770,-1.94170,-0.45620, 0.07000, 0.22980, 0.28990, 0.04550,-0.33170, 0.59260
5479.60, 3.00,-0.5, 4.970,-0.90320,-0.79180,-0.14620, 0.24700, 0.62080, 1.16170, 1.49630, 1.59370,-1.76010,-0.43380, 0.03930, 0.19900, 0.26220, 0.02950,-0.32920, 0.56200
5476.23, 3.00,-1.0, 4.972,-0.81420,-0.78110,-0.16190, 0.22670, 0.60550, 1.14950, 1.48940, 1.58670,-1.67100,-0.43750, 0.01810, 0.18220, 0.24920, 0.01520,-0.33830, 0.54560
5509.14, 3.00,-2.0, 4.946,-0.69810,-0.75540,-0.18090, 0.20020, 0.58320, 1.12170, 1.45720, 1.55500,-1.55960,-0.43710,-0.00860, 0.15760, 0.22820,-0.00280,-0.34620, 0.52160
5459.30, 3.00,-3.0, 4.986,-0.67650,-0.77320,-0.20260, 0.18300, 0.57740, 1.12910, 1.47530, 1.57530,-1.53840,-0.46070,-0.02840, 0.14800, 0.22770,-0.01860,-0.36700, 0.51380
5469.82, 3.00,-4.0, 4.977,-0.65020,-0.77020,-0.20640, 0.17690, 0.57180, 1.12170, 1.46520, 1.56580,-1.51210,-0.46190,-0.03460, 0.14200, 0.22230,-0.02310,-0.36940, 0.50800
5560.38, 3.50, 0.0, 4.906,-0.96890,-0.78500,-0.12210, 0.27880, 0.63790, 1.15520, 1.46520, 1.56360,-1.82320,-0.41820, 0.07400, 0.22080, 0.27090, 0.05240,-0.30700, 0.58140
5505.98, 3.50,-0.5, 4.949,-0.86310,-0.78730,-0.14720, 0.24470, 0.61600, 1.15180, 1.48590, 1.58080,-1.71280,-0.43160, 0.03770, 0.19500, 0.25570, 0.02780,-0.32770, 0.55740
5450.91, 3.50,-1.0, 4.992,-0.79730,-0.80110,-0.17530, 0.21780, 0.60060, 1.15430, 1.50760, 1.60290,-1.64430,-0.45460, 0.00820, 0.17600, 0.24610, 0.00530,-0.35150, 0.54010
5467.28, 3.50,-2.0, 4.979,-0.69010,-0.79070,-0.19890, 0.19070, 0.58080, 1.13170, 1.48070, 1.57850,-1.54010,-0.46540,-0.02010, 0.15330, 0.22870,-0.01530,-0.36650, 0.51820
